学者2015,挺好的，讲的很详细,10分
restlesssh,挺好的，可惜只讲了队列。,10分
wuxuemi,挺好,10分
襄阳老菜,讲的很细致，很清晰。,10分
小肚腩era,五星好评，期待老师更新课程，老师讲得很棒！,10分
幸福的幸运儿_,,4分
qq_软通帅公子_0,,10分
YPPJJ,,10分
Jams01,同样期待新课，老师真厉害,10分
哈喽哈喽哲,老师讲的真的很好，好期待数据结构新的课程！,10分
生命_接触,希望数据结构方面的课程能够推出更多,10分
张土土,,10分
流年清浅,特别好,10分
YY135246,感觉还不错,10分
xhf0374,讲得很好，赞一个！！,10分
liantao68,课程挺好，期待老师推出更多相关数据结构的课程,10分
我的名字有点长,,10分
X_未知,谢谢老师分享！,10分
Deny_小田,很好,10分
haitun679,有点晕,10分
Its_forever,略难。,10分
qq_恒,,10分
真疼虎,,10分
攻城掠地,课程非常不错，期待老师更新数据结构的其他知识,8分
lihe0417,讲的很好，很清晰，希望后续的知识继续,10分
jcoder512,老师讲解的很不错，我也可以使用Java语言写一版队列的实现了，谢谢。。。。。,10分
keke1123,这个老师讲的方法，让我自然而然的跟着学，这里面还有好多视频感觉是打酱油的。。。。,10分
Howard229,好评,10分
Edwiin,讲的很好！,10分
罗罗亚_索隆,挺好的，希望提供代码下载！,10分
半枯,挺好，但是内容太少,10分
拖尼Zzz,听完了，了解了队列的思想,10分
UDUN,老师讲得很好！很喜欢这个老师！！期待老师分享更多的课程！,10分
